sa2_maincode_2016,tot_p_p,age_20_24_yr_p,age_25_34_yr_p,age_35_44_yr_p,age_45_54_yr_p,age_55_64_yr_p,age_65_74_yr_p,age_75_84_yr_p,age_85ov_p,indigenous_p_tot_p,birthplace_australia_p,lang_spoken_home_eng_only_p,high_yr_schl_comp_yr_12_eq_p,age_20_24_percent,age_25_34_percent,age_35_44_percent,age_45_54_percent,age_55_64_percent,age_65_74_percent,age_75_84_percent,age_85ov_percent,indigenous_percent,birthplace_australia_percent,lang_eng_only_percent,high_yr_12_comp_percent
214011370,20711,1358,3197,3036,2873,2247,1394,738,420,241,14229,15935,7195,0.06556902129303269,0.15436241610738255,0.14658876925305395,0.13871855535705663,0.10849307131476027,0.0673072280430689,0.03563323837574236,0.02027907875042248,0.011636328521075757,0.6870262179518131,0.7693979044951957,0.3473999324030708
214011371,22570,1626,3433,2972,2953,2945,2108,1158,456,234,15321,17844,8925,0.0720425343376163,0.15210456357997343,0.13167922020381037,0.130837394771821,0.1304829419583518,0.09339831634913602,0.0513070447496677,0.020203810367744796,0.010367744793974303,0.6788214443952149,0.790607000443066,0.39543642002658397
214011372,19289,1212,2914,2455,2387,2216,2026,1159,495,281,13374,15623,6115,0.06283373943698481,0.15107055834931826,0.12727461247343044,0.12374928715848411,0.11488413085178081,0.10503395717766603,0.060086059412100164,0.025662294572035876,0.014567888433822385,0.6933485406190056,0.8099434911089222,0.3170200632484836
214011373,18199,978,1609,2247,2705,2344,1877,1184,719,99,13356,15766,8023,0.05373921644046376,0.08841145117863619,0.12346832243529865,0.1486345403593604,0.12879828562008902,0.10313753502939722,0.06505851969888456,0.039507665256332765,0.005439859332930381,0.7338864772789714,0.8663113357876806,0.44084839826364086
214011374,23836,1662,3142,3165,3724,2881,1904,824,219,181,18783,21444,8624,0.06972646417184092,0.1318174190300386,0.13278234603121328,0.15623426749454605,0.12086759523409968,0.07987917435811377,0.03456955865078033,0.009187783185098171,0.007593555965766068,0.7880097331767075,0.8996475918778318,0.361805672092633
214011375,16463,883,2413,2544,2211,2099,1626,881,346,213,11695,13586,6392,0.05363542489218247,0.1465710988276742,0.15452833626920975,0.13430116017736743,0.12749802587620726,0.09876693190791472,0.053513940351090326,0.02101682560894126,0.01293810362631355,0.7103808540363239,0.825244487638948,0.3882645933304987
214011376,13077,795,1776,2151,1981,1367,764,246,50,93,9177,10431,5340,0.06079376003670567,0.13581096581784813,0.16448726772195457,0.15148734419209298,0.10453467920776936,0.0584231857459662,0.01881165404909383,0.003823506920547526,0.007111722872218399,0.7017664601972929,0.7976600137646249,0.4083505391144758
214021377,11024,433,936,1186,1466,1627,1865,1008,374,77,8069,9389,3978,0.03927793904208998,0.08490566037735849,0.10758345428156749,0.13298258345428157,0.14758708272859217,0.16917634252539912,0.09143686502177069,0.03392597968069666,0.006984760522496371,0.7319484760522497,0.8516872278664731,0.3608490566037736
214021378,5369,221,258,496,842,1051,884,392,145,16,4244,4818,2619,0.04116222760290557,0.048053641273980256,0.09238219407710933,0.1568262246228348,0.19575339914322964,0.16464891041162227,0.07301173402868318,0.027006891413671075,0.002980070776680946,0.7904637735146209,0.8973738126280499,0.4878003352579624
214021379,22016,1544,2547,2557,2844,2948,2461,1285,378,377,17207,19884,7497,0.07013081395348837,0.11568859011627906,0.11614280523255814,0.12917877906976744,0.13390261627906977,0.11178234011627906,0.05836664244186047,0.017169331395348836,0.01712390988372093,0.7815679505813954,0.9031613372093024,0.3405250726744186
214021380,23989,1003,2158,2894,3044,2959,3541,2314,998,147,17240,21393,9449,0.04181082996373338,0.08995789736962774,0.1206386260369336,0.126891491933803,0.12334820125891033,0.1476093209387636,0.09646087790237191,0.0416024011005044,0.00612780857893201,0.7186627204135229,0.8917837342115136,0.3938888657301263
214021381,17888,792,937,2232,2880,2312,2059,1129,443,69,12904,15913,8690,0.04427549194991055,0.05238148479427549,0.12477638640429338,0.16100178890876565,0.12924865831842575,0.1151050983899821,0.0631149373881932,0.02476520572450805,0.003857334525939177,0.7213774597495528,0.8895907871198568,0.4858005366726297
214021382,18548,740,1226,2529,2893,2166,2074,1175,535,64,13870,16959,7930,0.039896484796204446,0.06609877075695493,0.13634893249946087,0.15597368988570195,0.11677808928186327,0.11181798576665948,0.06334914815613543,0.02884408022428294,0.003450506793185249,0.7477895190856158,0.9143303860254475,0.42753935734310977
214021383,17123,592,1373,1895,2151,2582,3114,1574,501,165,13150,14671,6428,0.03457338083279799,0.08018454710039129,0.11066985925363546,0.12562051042457514,0.15079133329439934,0.18186065525900835,0.0919231443088244,0.029258891549378028,0.00963616188751971,0.7679729019447527,0.8568007942533434,0.3754015067453133
214021384,20943,868,1865,2020,2435,2823,3213,2466,1350,234,15929,18326,6498,0.04144582915532636,0.08905123430263095,0.09645227522322494,0.1162679654299766,0.13479444205701188,0.1534164159862484,0.1177481736140954,0.06446067898581866,0.0111731843575419,0.7605882633815595,0.875041780069713,0.31027073485174045
214021385,18089,1212,2197,2106,2710,2533,1691,830,339,162,14330,16431,6259,0.06700204544198131,0.12145502791751893,0.11642434628779921,0.14981480457736746,0.14002985239648405,0.09348222676764885,0.045884239040300735,0.018740671126098733,0.008955718945215324,0.7921941511415778,0.9083420863508209,0.3460113881364365
215011386,8297,451,972,979,1184,1149,1006,602,285,137,6931,6847,2134,0.05435699650476076,0.11715077738941786,0.1179944558274075,0.14270218151138966,0.13848378932144148,0.12124864408822467,0.0725563456671086,0.034349764975292275,0.016511992286368567,0.8353621791008798,0.8252380378450043,0.25720139809569725
215011387,3146,86,269,360,401,587,433,214,66,39,2479,2700,980,0.02733630006357279,0.08550540368722187,0.11443102352193261,0.12746344564526382,0.1865861411315957,0.13763509218054673,0.06802288620470438,0.02097902097902098,0.012396694214876033,0.7879847425301971,0.8582326764144946,0.31150667514303876
215011388,16250,980,2010,1788,1983,2110,1665,1144,543,275,14180,14672,4841,0.060307692307692305,0.1236923076923077,0.11003076923076924,0.12203076923076923,0.12984615384615383,0.10246153846153847,0.0704,0.03341538461538462,0.016923076923076923,0.8726153846153846,0.9028923076923077,0.2979076923076923
215011389,3412,130,283,402,528,572,364,172,79,21,3045,3174,1056,0.038100820633059786,0.08294255568581477,0.11781946072684643,0.15474794841735054,0.16764361078546308,0.10668229777256741,0.05041031652989449,0.023153575615474795,0.00615474794841735,0.8924384525205158,0.9302461899179367,0.3094958968347011
215011390,6887,293,606,636,968,1122,903,564,333,91,5804,6123,1712,0.04254392333381734,0.08799186873820242,0.09234790184405402,0.14055466821547843,0.16291563815885002,0.1311165964861333,0.08189342239001017,0.04835196747495281,0.0132133004210832,0.8427472048787571,0.8890663569043125,0.24858428924059822
215011391,3352,125,272,295,478,573,540,271,126,27,2895,3087,916,0.03729116945107398,0.081145584725537,0.0880071599045346,0.1426014319809069,0.17094272076372316,0.1610978520286396,0.0808472553699284,0.03758949880668258,0.008054892601431982,0.8636634844868735,0.9209427207637232,0.2732696897374702
215011392,8093,385,795,875,1162,1256,1058,580,273,146,6746,7177,2291,0.0475719757815396,0.09823304089954281,0.10811812677622637,0.1435808723588286,0.1551958482639318,0.13073026071913998,0.07166687260595576,0.03373285555418263,0.018040281724947486,0.8335598665513406,0.8868157667119733,0.2830841467935253
215011393,2763,109,231,252,417,432,388,235,85,19,2386,2537,744,0.03944987332609482,0.08360477741585233,0.09120521172638436,0.15092290988056462,0.1563517915309446,0.14042707202316324,0.085052479189287,0.03076366268548679,0.006876583423814694,0.8635541078537822,0.918204849800941,0.2692725298588491
215011394,6627,274,561,557,927,1085,922,569,332,81,5610,5896,1581,0.04134600875207484,0.08465368945224083,0.08405009808359741,0.13988229968311452,0.16372415874452995,0.13912781047231024,0.08586087218952769,0.05009808359740456,0.012222725215029425,0.8465368945224083,0.8896936773804135,0.23856948845631507
215021395,6874,343,635,820,1072,939,660,345,112,138,5774,5944,1932,0.04989816700610998,0.09237707302880419,0.11929007855688101,0.15594995635728834,0.13660168751818447,0.09601396566773349,0.05018911841722432,0.016293279022403257,0.02007564736688973,0.8399767238871109,0.86470759383183,0.28105906313645623
215021396,4778,254,454,521,721,685,505,266,138,176,4001,4214,1126,0.053160318124738384,0.0950188363331938,0.10904143993302637,0.1508999581414818,0.1433654248639598,0.10569275847634994,0.05567182921724571,0.02888237756383424,0.03683549602344077,0.8373796567601507,0.8819589786521557,0.235663457513604
215021398,3720,172,318,417,518,688,435,196,125,70,3088,3244,856,0.046236559139784944,0.08548387096774193,0.11209677419354838,0.139247311827957,0.18494623655913978,0.11693548387096774,0.05268817204301075,0.033602150537634407,0.01881720430107527,0.8301075268817204,0.8720430107526882,0.23010752688172043
