sa2_maincode_2016,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_tot,home_percent,established_percent,recent_percent,new_percent
110011188,0,42,60,78,59,43,52,28,11,12,0,5,7,0,417,0.4316546762589928,0.2446043165467626,0.19184652278177458,0.08393285371702638
110011189,0,20,30,26,14,19,17,14,0,4,0,0,3,3,165,0.46060606060606063,0.2,0.18787878787878787,0.06060606060606061
110021190,7,42,90,127,45,59,60,41,14,15,0,12,8,3,581,0.4578313253012048,0.17900172117039587,0.1738382099827883,0.08950086058519793
110021191,3,55,75,85,53,52,54,107,28,41,34,38,39,4,717,0.30404463040446306,0.14644351464435146,0.22454672245467225,0.25662482566248257
110021192,6,22,53,53,31,13,96,47,0,3,6,4,11,0,356,0.37640449438202245,0.12359550561797752,0.40168539325842695,0.06741573033707865
110021193,6,17,29,39,30,19,20,24,5,6,0,9,0,3,223,0.4080717488789238,0.21973094170403587,0.19730941704035873,0.1031390134529148
110021194,0,50,79,111,84,52,36,22,16,10,14,0,4,0,507,0.47337278106508873,0.2682445759368836,0.11439842209072978,0.08678500986193294
110031195,0,21,19,56,44,46,48,84,33,25,36,14,26,3,486,0.19753086419753085,0.18518518518518517,0.2716049382716049,0.28189300411522633
110031196,0,12,8,38,23,25,26,42,3,4,18,17,5,3,233,0.24892703862660945,0.20600858369098712,0.2918454935622318,0.2145922746781116
110031197,0,26,18,50,30,26,42,60,9,8,19,9,12,3,324,0.29012345679012347,0.1728395061728395,0.3148148148148148,0.18518518518518517
110031198,0,14,45,21,21,19,28,18,5,5,4,0,4,0,193,0.41450777202072536,0.20725388601036268,0.23834196891191708,0.09326424870466321
110041199,3,32,33,48,45,34,64,76,14,31,19,11,16,10,475,0.24421052631578946,0.16631578947368422,0.29473684210526313,0.21263157894736842
110041200,0,8,15,26,13,14,19,15,0,8,0,3,6,0,141,0.3475177304964539,0.19148936170212766,0.24113475177304963,0.12056737588652482
110041201,3,23,54,59,38,43,30,22,8,13,13,0,5,3,342,0.4064327485380117,0.23684210526315788,0.15204678362573099,0.12280701754385964
110041202,3,74,101,134,98,87,125,205,49,70,61,84,153,76,1405,0.2220640569395018,0.13167259786476868,0.23487544483985764,0.3508896797153025
110041203,11,67,95,128,72,95,122,227,58,62,90,78,84,43,1295,0.23243243243243245,0.12895752895752896,0.2694980694980695,0.3204633204633205
110041204,0,10,24,33,21,34,29,50,3,34,18,14,39,18,357,0.1876750700280112,0.15406162464985995,0.22128851540616246,0.35294117647058826
110041205,7,88,135,202,112,103,122,77,21,14,10,11,20,14,977,0.4421699078812692,0.22006141248720573,0.20368474923234392,0.09211873080859775
111011206,6,148,162,241,164,156,211,148,16,35,23,17,20,5,1430,0.3895104895104895,0.22377622377622378,0.25104895104895103,0.08111888111888112
111011207,4,32,47,70,55,38,43,30,3,6,7,3,10,6,364,0.42032967032967034,0.2554945054945055,0.20054945054945056,0.09615384615384616
111011208,11,211,280,335,235,274,333,280,54,82,72,80,65,45,2431,0.34430275606746197,0.20937885643767998,0.25215960510078156,0.16371863430686961
111011209,11,278,250,331,242,236,317,275,51,48,46,33,37,19,2262,0.38461538461538464,0.21131741821396993,0.26171529619805484,0.10344827586206896
