,state,divisionnm_x,pollingplaceid,pollingplacenm,premisesnm,premisessuburb,premisespostcode,latitude,longitude,liberal/national coalition votes,liberal/national coalition percentage,australian labor party votes,australian labor party percentage,totalvotes,SA2_MAIN16,SA2_NAME16,GCC_CODE16,STE_NAME16,AREASQKM16
68,ACT,Canberra,8794,Garran (Canberra),Garran Primary School,GARRAN,2605.0,-35.34466870000001,149.1029475,318,36.34,557,63.66,875,801091102,Garran,8ACTE,Australian Capital Territory,2.6965
69,ACT,Canberra,8816,Giralang (Canberra),Giralang Primary School,GIRALANG,2617.0,-35.2137,149.094,445,33.18,896,66.82,1341,801011011,Giralang,8ACTE,Australian Capital Territory,2.4467
70,ACT,Canberra,8817,Griffith,St Edmund's College,GRIFFITH,2603.0,-35.3222,149.145,524,37.48,874,62.52,1398,801061064,Griffith (ACT),8ACTE,Australian Capital Territory,2.7559
71,ACT,Canberra,65981,Gungahlin CANBERRA PPVC,Quokka Pavilion,MITCHELL,2911.0,-35.2277375,149.1486707,869,36.96,1482,63.04,2351,801041119,Kenny,8ACTE,Australian Capital Territory,6.1708
72,ACT,Canberra,8774,Hughes (Canberra),Hughes Primary School,HUGHES,2605.0,-35.332175,149.0910366,540,36.81,927,63.19,1467,801091103,Hughes,8ACTE,Australian Capital Territory,1.7894
73,ACT,Canberra,8823,Kaleen,Kaleen Primary School,KALEEN,2617.0,-35.2248,149.114,651,36.86,1115,63.14,1766,801011016,Kaleen,8ACTE,Australian Capital Territory,6.0268
74,ACT,Canberra,8824,Kaleen South,Maribyrnong Primary School,KALEEN,2617.0,-35.2351,149.102,464,32.72,954,67.28,1418,801011016,Kaleen,8ACTE,Australian Capital Territory,6.0268
75,ACT,Canberra,8826,Lyneham,Lyneham Primary School,LYNEHAM,2602.0,-35.2515,149.125,476,20.46,1850,79.54,2326,801051057,Lyneham,8ACTE,Australian Capital Territory,5.4776
76,ACT,Canberra,83856,Lyneham East,Lyneham High School,LYNEHAM,2602.0,-35.252484499999994,149.1307017,175,22.04,619,77.96,794,801051057,Lyneham,8ACTE,Australian Capital Territory,5.4776
77,ACT,Canberra,8779,Lyons (Canberra),Lyons Early Childhood School,LYONS,2606.0,-35.342,149.076,259,31.09,574,68.91,833,801091105,Lyons (ACT),8ACTE,Australian Capital Territory,2.2619
78,ACT,Canberra,8828,Macquarie (Canberra),Macquarie Primary School,MACQUARIE,2614.0,-35.2501,149.059,342,26.61,943,73.39,1285,801011020,Macquarie,8ACTE,Australian Capital Territory,1.7004
79,ACT,Canberra,8782,Narrabundah,Narrabundah Early Childhood School,NARRABUNDAH,2604.0,-35.3286,149.15,444,31.94,946,68.06,1390,801061067,Narrabundah,8ACTE,Australian Capital Territory,4.0907
80,ACT,Canberra,8783,Oaks Estate,Oaks Estate Community Hall,OAKS ESTATE,2620.0,-35.3424,149.231,53,34.42,101,65.58,154,801031113,Canberra East,8ACTE,Australian Capital Territory,31.0618
81,ACT,Canberra,93976,Page (Canberra),St Matthew's School,PAGE,2614.0,-35.2398,149.042,174,38.58,277,61.42,451,801011023,Page,8ACTE,Australian Capital Territory,1.3225
82,ACT,Canberra,65741,Parkes (Canberra),Old Parliament House,PARKES,2600.0,-35.30196110000001,149.1299644,528,21.66,1910,78.34,2438,801061068,Parkes (ACT) - South,8ACTE,Australian Capital Territory,1.8118
83,ACT,Canberra,65742,Parkes CANBERRA PPVC,Old Parliament House,PARKES,2600.0,-35.30196110000001,149.1299644,1087,37.77,1791,62.23,2878,801061068,Parkes (ACT) - South,8ACTE,Australian Capital Territory,1.8118
84,ACT,Canberra,8785,Red Hill,Red Hill School,RED HILL,2603.0,-35.3395,149.13299999999998,871,38.83,1372,61.17,2243,801061069,Red Hill (ACT),8ACTE,Australian Capital Territory,4.8606
90,ACT,Canberra,93984,Special Hospital Team 6,Canberra Hospital 2,GARRAN,2605.0,-35.3459732,149.1007821,12,30.0,28,70.0,40,801091102,Garran,8ACTE,Australian Capital Territory,2.6965
91,ACT,Canberra,93998,Special Hospital Team 7,Sir Leslie Morshead Manor,LYNEHAM,2602.0,-35.2445739,149.124741,19,51.35,18,48.65,37,801051057,Lyneham,8ACTE,Australian Capital Territory,5.4776
92,ACT,Canberra,97477,Special Hospital Team 8,University of Canberra Hospital,BRUCE,2617.0,-35.2327253,149.081474,9,20.0,36,80.0,45,801011003,Bruce,8ACTE,Australian Capital Territory,5.7975
93,ACT,Canberra,93960,Tuggeranong CANBERRA PPVC,Centrepoint,GREENWAY,2900.0,-35.415369399999996,149.06785680000002,239,40.92,345,59.08,584,801071080,Greenway,8ACTE,Australian Capital Territory,5.307
94,ACT,Canberra,8836,Turner,Turner School,TURNER,2601.0,-35.265,149.126,400,19.66,1635,80.34,2035,801051060,Turner,8ACTE,Australian Capital Territory,1.5377
95,ACT,Canberra,8837,Watson,Majura Primary School,WATSON,2602.0,-35.2385,149.155,510,21.66,1845,78.34,2355,801051061,Watson,8ACTE,Australian Capital Territory,3.6743
96,ACT,Canberra,8838,Weetangera (Canberra),Weetangera Primary School,WEETANGERA,2614.0,-35.2518,149.047,589,34.98,1095,65.02,1684,801011026,Weetangera,8ACTE,Australian Capital Territory,1.5832
97,ACT,Canberra,93961,Woden CANBERRA PPVC,Cosmopolitan Building,WODEN,2606.0,-35.3442899,149.08632880000002,2497,45.55,2985,54.45,5482,801091109,Phillip,8ACTE,Australian Capital Territory,2.5749
98,ACT,Canberra,8840,Yarralumla,Yarralumla Primary School,YARRALUMLA,2600.0,-35.3069,149.10299999999998,619,44.53,771,55.47,1390,801061070,Yarralumla,8ACTE,Australian Capital Territory,7.2105
