sa2_maincode_2016,unemployment_mar_19,unemployment_jun_19
212051324,2.0,1.9
212051325,2.8,2.8
212051326,2.9,2.8
212051327,1.7,1.6
213011328,10.1,9.5
213011329,6.3,6.0
213011330,8.2,8.0
213011331,9.1,8.5
213011332,7.4,6.9
213011333,12.8,12.3
213011334,13.1,12.7
213011335,12.2,11.8
213011336,9.1,9.0
213011337,12.0,11.6
213011338,10.4,10.2
213011339,5.9,5.6
213011340,3.4,3.2
213021341,3.8,3.5
213021342,5.9,5.6
213021343,6.3,6.2
213021344,2.8,2.8
213021345,4.0,3.9
213021346,2.7,2.6
213031347,8.4,7.9
213031348,7.1,6.7
213031349,3.0,2.8
213031350,3.5,3.4
213031351,5.1,5.0
213031352,2.9,2.7
213041353,6.1,5.9
213041355,3.2,3.3
213041356,15.5,14.1
213041357,10.2,10.6
213041358,5.4,6.6
213041359,4.9,6.1
213041360,3.8,3.6
213041461,0.0,0.0
213041462,0.0,0.0
213041463,0.0,0.0
213051361,6.2,6.0
213051362,8.3,7.9
213051363,5.8,5.7
213051365,4.0,4.0
213051366,3.5,3.5
213051368,6.3,6.1
213051369,6.7,6.8
213051464,0.0,0.0
213051465,0.0,0.0
213051466,0.0,0.0
213051467,0.0,0.0
213051468,0.0,0.0
214011370,4.9,5.0
214011371,8.2,8.3
214011372,11.1,11.1
214011373,2.4,2.4
214011374,3.1,3.0
214011375,5.8,5.6
214011376,2.6,2.5
214021377,3.8,3.8
214021378,1.5,1.3
214021379,5.5,5.5
214021380,3.6,3.6
214021381,1.2,1.0
214021382,1.3,1.4
214021383,4.5,4.4
214021384,7.6,7.7
214021385,3.4,3.2
215011386,4.7,5.8
215011387,2.2,2.9
215011388,3.4,4.3
215011389,1.8,2.3
215011390,3.3,4.2
215011391,3.3,4.3
215011392,3.7,4.7
215011393,1.9,2.5
215011394,3.6,4.6
215021395,2.0,2.5
215021396,3.8,4.8
215021398,1.6,2.0
215021399,3.7,4.6
215021469,0.0,0.0
215021470,0.0,0.0
215031400,3.3,4.0
215031401,2.7,3.4
215031402,4.4,5.7
215031403,2.7,3.2
215031404,3.4,4.2
215031405,2.9,3.6
216011406,4.0,4.0
216011407,4.1,4.1
216011408,2.0,2.3
216011409,3.9,3.8
216011410,4.4,4.7
216021411,4.5,4.6
216021412,2.8,2.8
216021413,4.0,4.0
216021414,3.7,3.6
216031415,6.4,6.5
216031416,4.5,4.5
216031417,5.3,5.4
216031418,2.3,2.5
216031419,3.5,3.6
217011420,3.6,3.2
217011421,4.7,4.0
217011422,6.4,5.6
217011423,2.4,2.1
217031471,3.9,3.3
217031472,3.8,3.2
217031473,2.4,2.1
217031474,3.5,3.1
217031475,2.0,1.7
217031476,2.5,2.2
217041477,2.8,2.4
217041478,2.3,2.0
217041479,3.8,3.2
217041480,4.3,3.7
301011001,6.7,6.2
301011002,2.8,2.5
301011003,4.2,3.9
301011004,6.9,6.4
301011005,6.9,6.2
301011006,3.7,3.4
301021007,6.2,5.9
301021008,3.7,3.5
301021009,4.8,4.5
301021011,2.5,2.2
301021012,3.2,3.1
301021013,5.4,4.9
301021527,23.0,21.7
301031015,4.9,4.5
301031016,4.9,4.5
301031017,6.4,5.9
301031018,5.1,4.8
301031019,1.8,1.7
301031020,6.8,6.2
301031021,6.6,6.1
302011022,6.5,6.0
302011023,1.3,1.4
302011024,3.0,2.9
302011025,4.4,4.3
302011026,1.8,1.8
302021027,5.1,5.0
302021028,8.7,8.6
302021029,3.6,3.5
302021030,5.6,5.2
302021031,3.6,3.5
302021032,7.4,7.1
302021033,6.8,6.7
302021034,2.8,2.7
302031035,5.8,5.4
302031037,2.6,2.1
302031038,5.0,5.0
302031039,4.6,4.4
302031040,4.5,4.5
302041041,6.6,6.4
302041042,4.6,4.6
302041043,8.0,7.7
302041044,5.3,5.3
302041045,5.3,5.1
302041046,11.2,10.9
303011047,3.1,3.3
303011048,4.9,5.3
303011049,4.6,5.0
303011050,7.0,7.4
303011051,2.8,2.8
303021052,8.0,8.6
303021053,4.1,4.4
303021054,7.7,8.2
303021055,5.7,6.1
303021056,6.4,6.8
303021057,4.9,5.2
303021058,8.0,8.5
303021059,5.8,5.8
303031060,4.9,5.2
303031061,6.2,6.8
303031062,5.8,6.0
303031063,7.3,7.8
303031064,2.4,2.4
303031065,8.2,9.0
303031066,4.2,4.4
303041067,10.8,11.5
303041068,9.2,9.7
303041069,4.9,5.0
303041070,7.8,8.4
303041071,3.1,3.3
303051072,7.2,8.0
303051073,5.1,5.5
303051074,6.2,6.8
303051075,4.1,4.4
303051076,19.7,21.3
303061077,6.9,7.2
303061078,6.5,6.8
303061079,9.9,10.5
303061080,6.7,7.3
304011081,4.7,4.8
304011082,7.7,7.5
304011083,6.9,7.1
304011084,3.4,3.4
304011085,4.1,4.2
304021086,4.9,5.2
304021087,2.5,2.5
304021088,3.4,3.4
304021089,3.2,3.2
304021090,5.4,5.5
304021091,2.6,2.6
304031092,3.6,3.5
304031093,7.4,7.7
304031094,5.8,6.0
304031095,6.3,6.5
304031096,3.9,3.8
304031097,6.0,5.9
304041098,8.5,8.6
304041100,17.4,18.2
304041101,9.6,9.5
304041103,4.3,4.4
304041104,6.0,6.3
305011105,4.4,4.5
305011106,7.6,7.7
305011107,7.1,7.0
305011108,4.0,4.0
305011109,4.8,4.9
305011110,6.3,6.3
305011111,8.1,8.2
305011112,6.8,7.0
305021113,3.1,3.4
305021114,2.6,2.6
305021115,6.9,7.0
305021116,2.9,2.8
305021117,4.8,4.9
305021118,3.2,3.3
305031119,5.3,5.2
305031120,4.6,4.7
305031121,3.7,3.7
305031122,4.6,4.5
305031123,2.8,2.7
305031124,3.1,3.2
305031125,3.0,3.0
305031126,4.8,4.8
305031127,4.7,4.6
305031128,3.2,3.1
305031129,3.5,3.5
305031130,5.3,5.4
305031131,5.0,5.1
305041132,2.6,2.5
305041133,3.3,3.2
305041134,2.5,2.5
305041135,3.3,3.2
305041136,7.4,7.3
305041137,4.7,4.6
306011138,1.9,1.6
306011139,2.3,2.0
306011140,2.4,2.1
306011141,1.5,1.3
306011142,2.5,2.2
306011143,4.7,4.0
306021144,4.6,4.1
306021145,6.4,5.5
306021146,4.6,4.0
306021147,5.3,4.6
306021148,3.8,3.4
306021149,4.4,3.9
306021151,13.3,11.6
306021152,12.3,10.4
306021153,2.9,2.6
306021154,9.6,8.3
